"","ME8","ME2","ME9","ME13","ME6","ME11","ME7","ME1","ME3","ME14","ME4","ME5","ME10","ME12","ME0"
"tumor.rep28",-0.0777073540450116,-0.0435674462921237,-0.0378565711868238,0.18055396950465,0.132926760206939,0.128571391510023,-0.0830752496250986,0.0276081617616837,0.0577826968974729,-0.057983042361203,-0.0556332094592769,-0.0210845030901322,0.0598116712485677,-0.0404986464351754,0.0133306044193009
"tumor.rep29",-0.0957759154507516,-0.0109556276895872,0.0334258300041061,0.103415225410068,0.102401441631141,0.11219885695928,-0.116804495669924,-0.00925944562220897,0.0308831866003674,-0.127731413898627,-0.137782605187765,-0.0646588048954975,-0.0429941667539659,-0.077240522022431,-0.0453173309176868
"tumor.rep30",-0.0830127311120136,0.00618192905856259,-0.0711646059008762,0.0452926536389566,0.0372663388051865,0.00687936857153803,0.212927768690458,0.0256188570216413,-0.0300421991931437,-0.116390201274982,-0.0584278091897097,-0.0341150065412538,-0.0806455212953278,-0.0116014989760743,-0.0159105287839707
"normal.rep1",0.150718456042697,0.319002988130802,0.345463883166172,0.0507615241975462,-0.0499797397507808,0.0185621064630154,-0.0221145546749024,-0.211086892359815,-0.185776185038014,-0.00125548924894789,-0.125898504383331,0.0225174506008459,-0.270689089881263,-0.121199326062732,0.00952435089125181
"normal.rep2",-0.0872717826681185,0.0103090984003024,-0.00179591215293094,-0.191191684029874,-0.212889207300575,-0.0682888233563294,0.119117234149903,-0.0564288405868582,0.0548565761629204,0.420265130361125,0.200523487505688,0.0898455660622965,0.126678617048746,0.0773543031636915,-0.0552298831061991
"normal.rep3",0.29807678448933,-0.020063952731305,-0.0273733785701499,-0.0526021801875086,-0.0318380461264757,-0.0195192697267526,-0.0901514888128145,-0.0110212019173839,0.0808258843564392,-0.10322611916182,0.0853990284409384,0.0651131928062614,0.115290943254838,0.0757949639189085,0.0295073501802223
"normal.rep4",-0.0636992038101019,0.0104933459552823,0.00698018064838932,-0.185686928376254,-0.135804647788412,-0.100052768827457,-0.0932915488685597,-0.0288835359402354,0.0204150406789653,0.110936764975958,0.0773867424755517,0.07445223321797,0.0900446742689413,0.0805810448302827,0.0255764349190481
"normal.rep5",0.288545684667208,-0.0379624445093062,-0.0405669818963276,-0.130425583431627,-0.0752914292152697,-0.035105999211267,-0.00771092619631043,0.0523830053554644,0.0136421982899435,-0.0653961513909372,0.125688806103209,0.0902055722646298,0.0312779032318288,0.11166102491635,0.0712904099443749
"normal.rep6",-0.00619733733954275,0.247376580329328,0.393233629025213,-0.244490857835377,-0.310443897764361,-0.368788712032639,-0.497691511791372,-0.545511796739616,-0.514307544391624,-0.211765642655848,-0.403383614365786,-0.0616041097128796,-0.11972690769448,0.0711596288609592,-0.530665837916829
"normal.rep7",0.300290526591096,-0.0109718020536716,-0.0531873452247343,-0.158251068936793,-0.0995430781948157,-0.0545077439809359,-0.0110725523881499,0.0401051595402289,-0.00736151843022023,-0.0951528970544371,0.120600902147095,0.0915970011301313,0.0012848830332474,0.111547928556886,0.0571137947521341
"normal.rep8",-0.0691212162062309,-0.0645477160615308,-0.00721867061590164,-0.119095096445898,-0.0633771122910091,-0.0538638420484874,0.0340778837160764,0.0542810405816132,0.00552026451821528,0.0708950935379871,0.11473079875535,0.0970178041141,0.0507858584897045,0.114990292038516,0.0790631184455012
"normal.rep9",0.158565634118424,0.279504439580112,0.405690400775156,0.0743060715785983,-0.05802099758569,0.0319225574338301,-0.0373057777912117,-0.2308956221103,-0.126735736570949,0.015576358169435,-0.113572577952976,0.0929227274682876,-0.168360278763161,-0.109499536779226,0.0412539341241464
